index,model,language,source,hypothesis,corrected_ref,is_error,error_category,justification
0,NLLB,nso,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","O okeditše ka gore: ""Ga bjale re na le diphošo tša dikgwedi tše 4 tšeo di se nago le bolwetši bja swikiri tšeo pele di bego di na le bolwetši bja swikiri"".","Re na gabjale le magotlwana a kgwedi-tše-4 ao a se nago bolwetši bja sukiri ao a bego a na le bolwetši bja sukiri, o okeditše.",True,Word Choice/Lexicon,"The machine translation incorrectly translates 'mice' as 'diphošo' (errors/mistakes/flies) instead of the correct 'magotlwana' (mice). This is a critical lexical error that fundamentally changes the meaning of the sentence. As a result, the subsequent pronoun agreement ('tšeo' instead of 'ao') is also incorrect."
1,NLLB,nso,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. Ehud Ur, moprofesara wa tša kalafo Yunibesithing ya Dalhousie kua Halifax, Nova Scotia gomme e le modulasetulo wa karolo ya tša kalafo le tša thutamahlale ya Mokgatlo wa Badudi ba Swikiri wa Canada o lemošitše gore nyakišišo e sa le matšatšing a yona a mathomo.","Dr. Ehud Ur, moprofesara wa tša maphelo Yunibesithing ya Dalhousie ka Halifax, Nova Scotia le modulasetulo wa karolo ya maphelo le mahlale wa Mokgahlo wa Bolwetši bja Swikiri wa Canada ba lemošitše gore nyakišišo e sa le matšatšing a pele.",True,Meaning/Semantics,"The MT mistranslates 'Canadian Diabetes Association' as 'Mokgatlo wa Badudi ba Swikiri wa Canada' (Association of People with Diabetes), which semantically shifts the focus from the disease itself to the people affected by it, unlike the more accurate 'Mokgahlo wa Bolwetši bja Swikiri' (Association of Diabetes Disease) in the reference. Additionally, the MT uses more verbose phrases like 'tša thutamahlale' for 'scientific' and 'matšatšing a yona a mathomo' for 'in its early days', which are less concise and idiomatic than 'mahlale' and 'matšatšing a pele' in the reference, indicating fluency and word choice issues. However, the MT correctly maintains the singular subject pronoun 'o' for 'cautioned', matching the source, unlike the plural 'ba' in the provided reference."
2,NLLB,nso,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Go swana le ditsebi tše dingwe, o belaela ge e ba bolwetši bja swikiri bo ka fodišwa, a bolela gore dilo tše di hweditšwego ga di na taba le batho bao ba šetšego ba e-na le bolwetši bja swikiri bja mohuta wa 1.","Bjalo ka ditsebi tše dingwe, o gonona gore ekaba diabetes e ka fodišwa, a bolela gore dikarabo tše ga di bolele ka batho bao ba šetšego ba na le Type 1 diabetes.",False,No Error,"The MT Hypothesis is a fluent and accurate translation of the source text. All key phrases are correctly rendered. Differences from the reference, such as 'Go swana le' vs 'Bjalo ka' (both meaning 'like'), 'belaela' vs 'gonona' (both meaning 'skeptical/doubt'), 'dilo tše di hweditšwego' (things found) vs 'dikarabo tše' (answers/results) for 'findings', and translating 'diabetes' vs retaining the English term, are stylistic choices and do not constitute errors. The MT's choices are natural and correct in Sepedi."
3,NLLB,nso,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Ka Mošupologo, Sara Danius, mongwaledi wa go ya go ile wa Komiti ya Nobel ya Mangwalo ya Swedish Academy, o tsebišitše phatlalatša nakong ya lenaneo la radio go Sveriges Radio kua Sweden gore komiti ye, ka ge e sa kgone go fihlelela Bob Dylan ka go lebanya mabapi le go thopa Moputso wa Nobel wa 2016 wa Mangwalo, e tlogetše maiteko a yona a go fihla go yena.","Ka Mošupulogo, Sara Danius, mongwaledi wa goya goile wa Komiti ye Kgethwa ya Dipuku ka Akhatemi ya Swedish, o tsebišitše seyalemoyeng phatlatlatša go Seyalemoya sa Sveriges ka Sweden, a palelwa ke go fihlelela Bob Dylan thwii mabapi le go thopa Sefoka sa 2016 ka Dipuku, o tlogetše maitapišo a yona go mo fihlelela.",True,Meaning/Semantics,"The MT Hypothesis contains several significant semantic deviations from the provided Correct Reference. Firstly, it translates 'Nobel Committee for Literature' as 'Komiti ya Nobel ya Mangwalo' and '2016 Nobel Prize in Literature' as 'Moputso wa Nobel wa 2016 wa Mangwalo', while the reference uses 'Komiti ye Kgethwa ya Dipuku' and 'Sefoka sa 2016 ka Dipuku' respectively. This alters the specific identity of the committee and the prize. Secondly and more critically, the MT attributes the inability to reach Bob Dylan and the abandonment of efforts to the 'committee' ('komiti ye... e sa kgone... e tlogetše'), whereas the reference attributes these actions to Sara Danius ('a palelwa ke... o tlogetše'). This constitutes a fundamental change in the subject performing the actions, leading to a significant meaning alteration relative to the reference."
4,NLLB,nso,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius o itše, ""Ga bjale ga re dire selo. Ke ile ka bitša le go romela melaetša ya elektroniki go mošomišani wa gagwe wa kgaufsi kudu gomme ka amogela dikarabo tše borutho kudu.","Danius o boletše gore, ""Gabjale ga re dire selo. Ke leditše le go romela diimeile go modirišanimmogo le yena gomme ka amogela diphetolo tše dibotse. Gabjale, seo se lekane.""",True,Meaning/Semantics,"The MT entirely omits the final sentence, ""For now, that is certainly enough."" This significantly alters the overall meaning of the source text. Additionally, the MT uses ""o itše"" for ""said,"" which is less complete than the more idiomatic ""o boletše gore"" for reported speech in the reference. It also uses the more verbose ""melaetša ya elektroniki"" for ""emails"" instead of the more concise ""diimeile"" from the reference."
5,NLLB,nso,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Pejana, CEO wa Ring, Jamie Siminoff, o ile a bolela gore khamphani e thomile ge lenaka la gagwe la mojako le be le sa kwewe lebenkeleng la gagwe ka karatšheng ya gagwe.","Nako ya go feta, CEO ya Ring, Jamie Siminoff, o lemogile gore khampane e thomile ge tšhipi ya gagwe ya mojako e be e sa kwagale go tšwa lebenkeleng la gagwe ka karatšeng ya gagwe.",True,Meaning/Semantics,"The MT contains several errors that alter the meaning of the source. Firstly, 'lenaka la mojako' (door horn) was used instead of the correct term 'tšhipi ya mojako' (doorbell). Secondly, 'le be le sa kwewe' (it was not heard - passive) was used instead of 'e be e sa kwagale' (it was not audible), failing to accurately convey 'wasn't audible'. Thirdly, the preposition 'from' ('go tšwa') was omitted before 'his shop', making it read 'in his shop' instead of 'from his shop'."
6,NLLB,nso,"He built a WiFi door bell, he said.",O itše o ile a aga lelokelelo la mojako la Wi-Fi.,"O ile a aga tšhipi ya gagwe ya mojako ya WiFi, ge a bolela.",True,Word Choice/Lexicon,"The MT translates 'door bell' as 'lelokelelo la mojako' which means 'door circuit' or 'door system'. This is an incorrect lexical choice. The correct term is 'tšhipi ya mojako', meaning 'door bell' or 'door chime', as seen in the reference. This changes the specific item that was built."
7,NLLB,nso,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff o boletše gore dithekišo di ile tša oketšega ka morago ga go tšwelela ga gagwe ka 2013 ka go seripa sa Shark Tank moo sehlopha sa lenaneo se ilego sa gana go thekga go thoma.,Siminoff e rile dithekišo di ile godimo ka morago ga go tšwelelela ga gagwe ka 2013 karolong ya Shark Tank moo phanele ya lenaneo e gannego go tsenya mašeleng gore e thome kgwebo.,True,Meaning/Semantics,"The MT mistranslates 'funding the startup' as 'go thekga go thoma' (to support the start), which loses the specific financial meaning of 'funding' and uses a very generic term for 'startup'. The reference's translation 'go tsenya mašeleng gore e thome kgwebo' (to invest money so it starts a business) is much more accurate. Additionally, 'seripa' is a less precise word choice for 'episode' than 'karolo', and 'sehlopha' is less accurate than 'phanele' for 'panel'."
8,NLLB,nso,"In late 2017, Siminoff appeared on shopping television channel QVC.","Go ya mafelelong a 2017, Siminoff o ile a tšwelela go thelebišene ya mabenkele ya QVC.","Go ya mafelelong a 2017, Siminoff o tšweletše kgašong ya telebišene tšhaneleng ya QVC.",True,Word Choice/Lexicon,"The MT hypothesis translates ""shopping television channel QVC"" as ""thelebišene ya mabenkele ya QVC"" (shopping television of QVC). It omits the explicit translation of ""channel"", which is present in the source and correctly translated as ""tšhaneleng"" in the reference. While the meaning is generally understood, the omission makes the translation less precise and complete lexically."
9,NLLB,nso,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring gape o ile a rarolla molato le khamphani ya tšhireletšo yeo e phadišanago, ADT Corporation.","Ring o ile a rarolla gape molato le khampani ye e phadišanago ya tšhireletšo, ADT Corporation.",True,Grammar/Syntax,"The adverb 'gape' (also) is misplaced in the MT hypothesis. In Nso, for this context, 'gape' should generally follow the verb it modifies, 'rarolla' (settled), as demonstrated in the correct reference. Placing it immediately after the subject 'Ring' is less natural and grammatically awkward."
0,NLLB,tso,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","U engeterile: ""Sweswi hi ni makondlo lama nga ni tin'hweti ta mune lama nga riki na vuvabyi bya chukele lama tshameke ma va ni vuvabyi bya chukele"".","Sweswi hi ni makondlo lama nga ni tin'hweti ta mune lama nga riki na vuvabyi bya chukele kambe khale a ma ri na byona"".",True,Fluency/Style,"The MT hypothesis repeats the phrase 'vuvabyi bya chukele' (diabetes) in the latter part of the sentence, which makes it less natural and fluent. The correct reference uses a pronoun 'byona' to avoid this repetition, resulting in better style and flow."
1,NLLB,tso,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dok. Ehud Ur, profesa wa vutshunguri eYunivhesiti ya Dalhousie eHalifax, le Nova Scotia tlhelo mutshama-xitulu wa ndzawulo ya swa vutshunguri ni sayense ya Canadian Diabetes Association u tsundzuxile leswaku ndzavisiso lowu wa ha ri emasikwini ya wona yo sungula.","Muongori Ehud Ur, phurofesa wa vutshunguri eYunivhesiti ya Dalhousie eHalifax, Nova Scotia tlhelo mutshamaxitulu wa xiyenge xa vuongori na sayense eka Canadian Diabetes Association u lemukise leswaku ndzavisiso wa ha ri emasungulweni.",True,Meaning/Semantics,"The MT's translation of 'cautioned' as 'u tsundzuxile' (reminded/advised) slightly alters the nuance of the source, which implies a stronger warning. The correct reference uses 'u lemukise' (cautioned/warned), which is semantically more accurate. Additionally, the phrase 'in its early days' was translated very literally as 'emasikwini ya wona yo sungula' instead of the more idiomatic 'emasungulweni' used in the reference, impacting fluency."
2,NLLB,tso,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Ku fana ni vativi van'wana, wa kanakana loko vuvabyi bya chukele byi nga tshunguleka, a vula leswaku leswi kumiweke a swi na mhaka ni vanhu lava ana se va nga ni vuvabyi bya chukele bya Type 1.","Ku fana ni vativi van’wana, a nga tiyiseki kahle leswaku vuvabyi bya chukela byi nga tshunguleka, u vula leswaku leswi kumiweke a swi va khumbi vanhu lava va nga ni vuvabyi bya chukela bya muxaka wo sungula",True,Word Choice/Lexicon,"The MT's translation of 'have no relevance to people' as 'a swi na mhaka ni vanhu' (it has no concern/matter with people) is less natural and precise than the reference's 'a swi va khumbi vanhu' (it does not affect/concern them, the people). The MT's phrasing is somewhat awkward and does not convey the nuance of 'relevance' as effectively as the reference."
3,NLLB,tso,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Hi Musumbhunuku, Sara Danius, matsalana wa nkarhi hinkwawo wa Komiti ya Nobel ya Tibuku ya le Swedish Academy, u tivise erivaleni hi nkarhi wa nongonoko wa xiya-ni-moya eka Sveriges Radio eSweden leswaku komiti leyi, leyi tsandzekeke ku fikelela Bob Dylan hi ku kongoma malunghana ni ku kuma Sagwadi ra Nobel ra 2016 ra Tibuku, yi tshike matshalatshala ya yona yo n'wi fikelela.","Hi Musumbhunuku, Sara Danius, matsalana wa nkarhi hinkwawo wa Komiti ya Nobel eka Matsalwa le Swedish Academy, u tivisile erivaleni eka nongonoko wa xiyanimoya eka Sveriges Radio le Sweden a vula leswaku komiti, tanihi leswi a yi nga swi koti ku fikelela Bob Dylan hi ku kongoma malunghana ni ku hlula kakwe Sagwadi ra Nobel eka Matsalwa hi 2016, yi tshikile matshalatshala lawa a yi ma endla yo n’wi kuma.",True,Meaning/Semantics,"The MT incorrectly translates 'Nobel Prize in Literature' as 'Sagwadi ra Nobel ra Tibuku' (Nobel Prize of Books) in two instances, whereas the correct term 'Matsalwa' (Literature/Writings) should have been used. Furthermore, 'about winning' is translated as 'malunghana ni ku kuma' (concerning receiving/getting) instead of 'malunghana ni ku hlula kakwe' (concerning his winning), which alters the intended meaning. The MT also loses some nuance in translating 'had abandoned its efforts' by using 'yi tshike matshalatshala ya yona' (it abandoned its efforts) which is less precise than 'yi tshikile matshalatshala lawa a yi ma endla' (it had abandoned the efforts it was making) from the reference, thus affecting the temporal aspect and completeness."
4,NLLB,tso,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius u te: ""Sweswi a hi endli nchumu. Ndzi bele munghana wakwe wa le kusuhi riqingho ndzi n'wi rhumela ti-e-mail naswona ndzi kume tinhlamulo leti nga ni xinghana.","Danius u te, ""Sweswi a hi endli nchumu. Ndzi be riqingho ndzi tlhela ndzi rhumela tiimeyili  eka mutirhi-kulobye lonkulu naswona ndzi kume tinhlamulo ta xinghana. Swa sweswi, sweswo swi ringene"".",True,Meaning/Semantics,"The MT hypothesis contains two significant errors: 1. It incorrectly translates 'closest collaborator' as 'munghana wakwe wa le kusuhi' (his closest friend), which is a lexical error that changes the meaning. The correct term for 'collaborator' is 'mutirhi-kulobye'. 2. It completely omits the last sentence 'For now, that is certainly enough,' leading to a loss of information and impacting the overall meaning."
5,NLLB,tso,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Eku sunguleni, CEO wa Ring, Jamie Siminoff, u vule leswaku khampani yi sungule loko riqingho ra yena ri nga twiwi exitolo xakwe egaraji.","Enkarhini lowu hundzeke, CEO ya Ring, Jamie Siminoff, u vule leswaku khampani yi sungule enkarhini lowu bele rakwe ra le nyangweni a ri nga twali kahle loko a ri exitolo lexi a xi ri agarajini yakwe.",True,Meaning/Semantics,"The MT incorrectly translates ""wasn't audible from his shop in his garage."" The phrase ""ri nga twiwi exitolo xakwe egaraji"" translates to ""was not heard at/in his shop in his garage,"" which deviates from the source's meaning of the doorbell not being audible *from the perspective of being inside the shop*. The reference correctly conveys this perspective by focusing on the CEO's location: ""loko a ri exitolo lexi a xi ri agarajini yakwe"" (when he was in the shop that was in his garage). Additionally, the MT uses less precise terms for ""Previously"" (Eku sunguleni vs. Enkarhini lowu hundzeke) and ""doorbell"" (riqingho ra yena vs. bele rakwe ra le nyangweni), and ""wasn't audible"" (ri nga twiwi vs. a ri nga twali kahle)."
6,NLLB,tso,"He built a WiFi door bell, he said.",U vule leswaku u ake bele ya nyangwa ya WiFi.,"U ri, u endle bele ra le nyangweni ra WiFi.",True,Grammar/Syntax,"The MT incorrectly transforms the reporting clause 'he said' into an integrated indirect speech construction ('U vule leswaku u ake...' - 'He said that he built...'), which alters the original sentence structure. The source places the reporting clause at the end of the statement, which is better reflected by the reference's 'U ri, u endle...'. Additionally, the translation of 'door bell' as 'bele ya nyangwa' (bell of door) is less idiomatic and grammatically less precise than 'bele ra le nyangweni' (bell at the door), which uses a locative construction. The verb choice of 'aka' (to build, often for large structures) is also less suitable than 'endla' (to make/do) for a doorbell."
7,NLLB,tso,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff u vule leswaku ku xaviwa ka swilo swi tlakukile endzhaku ka loko a humelele eka nkombiso wa Shark Tank hi 2013 laha ntlawa wa vaxavisi wu aleke ku seketela ntirho lowu.,Siminoff u vule leswaku minxavo yi tlakukile hi 2013 endzhaku ka loko a humelerile eka nongonoko wa Shark Tank laha vafambisi va nongonoko va aleke ku hakelela masungulo ya kona.,True,Meaning/Semantics,"The MT contains several incorrect word choices that lead to a significant distortion of the source's meaning. Specifically, 'sales' is translated imprecisely as 'ku xaviwa ka swilo' (the act of buying things) instead of 'minxavo' (sales/revenue); 'show panel' is incorrectly rendered as 'ntlawa wa vaxavisi' (group of buyers/sellers) instead of referring to the investor panel; 'funding' is generalized to 'ku seketela' (to support) instead of 'ku hakelela' (to fund); and 'the startup' is translated as 'ntirho lowu' (this work/endeavor) instead of a more specific term like 'masungulo ya kona' (its startup/beginnings). These collective errors alter the core message about who was involved and what transpired."
8,NLLB,tso,"In late 2017, Siminoff appeared on shopping television channel QVC.","Eku heleni ka 2017, Siminoff u humelele eka xitichi xa thelevhixini xa ku xava xa QVC.","Eku heleni ka 2017, Siminoff u humelerile eka nongonoko wa thelevhixini yo xava ya QVC.",True,Meaning/Semantics,"The MT translates ""channel"" as ""xitichi"" (channel/station), while the Correct Reference uses ""nongonoko"" (programme/show). Although ""xitichi"" is a direct translation of ""channel"", the reference suggests that ""nongonoko"" is the more appropriate and nuanced meaning for someone appearing on a shopping television channel, implying appearance on a specific broadcast segment. This results in a semantic difference regarding what Siminoff appeared on. Additionally, the MT uses ""humelele"" for ""appeared,"" while ""humelerile"" (used in the Correct Reference) is generally considered a more precise and preferred form for the perfect tense of 'to appear' in Xitsonga, avoiding potential ambiguity with 'succeeded'."
9,NLLB,tso,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring u tlhele a lulamisa nandzu lowu a wu ri ni khampani yin'wana ya vuhlayiseki leyi a yi phikizana na yena, ku nga ADT Corporation.","Ring yi tlhele yi lulamisa nandzu lowu a wu khumba khampani ya vusirheleri leyi a yi phikizana na yona, ku nga ADT Corporation.",True,Grammar/Syntax,"The MT contains significant grammatical errors. The subject concord for 'Ring' (a company) is incorrect, using 'u' (class 1, for people) instead of 'yi' (class 9). Similarly, the object pronoun 'yena' (class 1) is used instead of 'yona' (class 9) when referring back to 'Ring'. Additionally, the MT incorrectly adds 'yin'wana' (another), which subtly alters the original meaning of the source text, and uses 'vuhlayiseki' instead of the more appropriate 'vusirheleri' for 'security' in this context."
0,NLLB,zul,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","Wanezela: ""Manje sinamagundane anenyanga ezine ubudala angenawo isifo sikashukela ayevame ukuba nesifo sikashukela"".","""Manje sinamagundane anezinyanga ezingu-4 angenawo ushukela ayenoshukela,"" wanezela.",True,Grammar/Syntax,"The MT's translation of '4-month-old' as 'anenyanga ezine ubudala' contains a grammatical error. 'Inyanga' (month) is singular, but 'ezine' (four) requires the plural form 'izinyanga'. It should be 'anezinyanga ezine' or 'anezinyanga ezingu-4'. Additionally, 'ubudala' (age) is redundant and less idiomatic when specifying the age of animals in months. The placement of 'Wanezela:' at the beginning of the quote also deviates from the source's 'he added' at the end, impacting the natural flow in Zulu."
